iteration,bal_acc,std,std_ema,alpha_max,lambda_max,rolled_back,elapsed_s,omega_mode,plane,car,bird,cat,deer,dog,frog,horse,ship,truck,d_plane,d_car,d_bird,d_cat,d_deer,d_dog,d_frog,d_horse,d_ship,d_truck
1,0.8486630777238033,0.07466499634798583,0.0865772500405696,0.019999182833561675,556.1453857421875,False,71.8,homogeneous,0.8752598752598753,0.9090909090909091,0.8,0.6898608349900597,0.8641732283464567,0.7426900584795322,0.9113680154142582,0.8832684824902723,0.9248434237995825,0.8860759493670886,-0.008316008316008316,-0.006198347107438051,-0.005714285714285672,0.05168986083499005,-0.009842519685039353,0.03508771929824561,0.044315992292870865,-0.017509727626459193,-0.006263048016701411,-0.010548523206751148
2,0.8486630777238033,0.07466499634798583,0.08300357393279446,0.0023771259875485277,430.2247619628906,True,74.0,homogeneous,0.8752598752598753,0.9090909090909091,0.8,0.6898608349900597,0.8641732283464567,0.7426900584795322,0.9113680154142582,0.8832684824902723,0.9248434237995825,0.8860759493670886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.8497159225528147,0.07497491984840284,0.08059497770747698,0.0028362618509008607,430.2278747558594,False,72.0,homogeneous,0.8773388773388774,0.9132231404958677,0.8038095238095239,0.6878727634194831,0.8661417322834646,0.7446393762183235,0.9036608863198459,0.8832684824902723,0.9290187891440501,0.8881856540084389,0.0020790020790021346,0.004132231404958664,0.003809523809523818,-0.001988071570576566,0.0019685039370078705,0.0019493177387913674,-0.0077071290944122905,0.0,0.0041753653444676075,0.0021097046413502962
4,0.8499379412587491,0.07388475224494477,0.07858191006871731,0.0036191745992321302,405.24664306640625,False,74.7,homogeneous,0.8773388773388774,0.9132231404958677,0.8095238095238095,0.6918489065606361,0.860236220472441,0.7426900584795322,0.8978805394990366,0.8852140077821011,0.9290187891440501,0.8924050632911392,0.0,0.0,0.005714285714285672,0.003976143141153021,-0.0059055118110236116,-0.0019493177387913674,-0.005780346820809301,0.0019455252918287869,0.0,0.00421940928270037
5,0.850369710507953,0.07538268427129166,0.07762214232948962,0.0038596631220098364,401.3212585449219,False,75.8,homogeneous,0.8773388773388774,0.9152892561983471,0.8076190476190476,0.6878727634194831,0.860236220472441,0.7426900584795322,0.8978805394990366,0.8891050583657587,0.9269311064718163,0.8987341772151899,0.0,0.0020661157024793875,-0.0019047619047619646,-0.003976143141153021,0.0,0.0,0.0,0.0038910505836575737,-0.0020876826722338038,0.006329113924050667
6,0.8507306959224261,0.07093963158418712,0.07561738910589888,0.005951322179220472,378.1010437011719,False,84.4,homogeneous,0.8731808731808732,0.9152892561983471,0.8114285714285714,0.7037773359840954,0.8582677165354331,0.7426900584795322,0.8921001926782274,0.8891050583657587,0.9248434237995825,0.8966244725738397,-0.004158004158004158,0.0,0.003809523809523818,0.015904572564612307,-0.0019685039370078705,0.0,-0.00578034682080919,0.0,-0.0020876826722338038,-0.002109704641350185
7,0.8527188404061412,0.07090445671477538,0.07420350938856184,0.0064842207770882615,338.07647705078125,False,85.3,homogeneous,0.8731808731808732,0.9152892561983471,0.8076190476190476,0.6998011928429424,0.8740157480314961,0.7524366471734892,0.8901734104046243,0.8910505836575876,0.9206680584551148,0.9029535864978903,0.0,0.0,-0.003809523809523818,-0.003976143141153021,0.015748031496062964,0.009746588693957059,-0.0019267822736031004,0.0019455252918288979,-0.0041753653444677186,0.006329113924050556
8,0.8535063632203176,0.06661425471102114,0.07192673298529963,0.009070015647517872,380.3127136230469,False,80.6,homogeneous,0.8794178794178794,0.9173553719008265,0.8076190476190476,0.709741550695825,0.8681102362204725,0.7621832358674464,0.8901734104046243,0.8852140077821011,0.9144050104384134,0.9008438818565401,0.006237006237006182,0.0020661157024793875,0.0,0.009940357852882609,-0.0059055118110236116,0.00974658869395717,0.0,-0.005836575875486472,-0.006263048016701411,-0.002109704641350185
9,0.8535063632203176,0.06661425471102114,0.07033298950301609,0.0024260220196746607,369.0066223144531,True,87.3,homogeneous,0.8794178794178794,0.9173553719008265,0.8076190476190476,0.709741550695825,0.8681102362204725,0.7621832358674464,0.8901734104046243,0.8852140077821011,0.9144050104384134,0.9008438818565401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.8535063632203176,0.06661425471102114,0.0692173690654176,0.00215565171633697,368.9991149902344,True,83.0,homogeneous,0.8794178794178794,0.9173553719008265,0.8076190476190476,0.709741550695825,0.8681102362204725,0.7621832358674464,0.8901734104046243,0.8852140077821011,0.9144050104384134,0.9008438818565401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
