iteration,bal_acc,std,std_ema,alpha_max,lambda_max,rolled_back,elapsed_s,omega_mode,MEL,NV,BCC,AK,BKL,DF,VASC,SCC,d_MEL,d_NV,d_BCC,d_AK,d_BKL,d_DF,d_VASC,d_SCC
1,0.6914567533508993,0.12431536166256316,0.13091069011373224,0.009999591414845355,11935.65625,False,361.4,linear,0.668,0.912,0.868,0.572,0.704,0.6354679802955665,0.5441860465116279,0.628,-0.01200000000000001,-0.008000000000000007,0.020000000000000018,0.03599999999999992,-0.016000000000000014,0.014778325123152691,0.027906976744186074,0.016000000000000014
2,0.6974451254439226,0.11982088569767002,0.12758374878891357,0.0099991370856638,14893.865234375,False,361.2,linear,0.664,0.912,0.872,0.58,0.708,0.6354679802955665,0.5720930232558139,0.636,-0.0040000000000000036,0.0,0.0040000000000000036,0.008000000000000007,0.0040000000000000036,0.0,0.027906976744185963,0.008000000000000007
3,0.7100784740520105,0.10628861352252703,0.1211952082089976,0.009999274454238441,13897.41796875,False,339.0,linear,0.652,0.892,0.86,0.596,0.736,0.6945812807881774,0.586046511627907,0.664,-0.01200000000000001,-0.020000000000000018,-0.01200000000000001,0.016000000000000014,0.028000000000000025,0.059113300492610876,0.013953488372093092,0.028000000000000025
4,0.7100784740520105,0.10628861352252703,0.11672322980305644,0.0026527025289077785,11723.08984375,True,360.6,linear,0.652,0.892,0.86,0.596,0.736,0.6945812807881774,0.586046511627907,0.664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.7126128422499713,0.10879949197141452,0.11434610845356386,0.0024684417379390072,11715.1669921875,False,365.5,linear,0.664,0.9,0.864,0.592,0.732,0.6995073891625616,0.5813953488372093,0.668,0.01200000000000001,0.008000000000000007,0.0040000000000000036,-0.0040000000000000036,-0.0040000000000000036,0.0049261083743842304,-0.0046511627906976605,0.0040000000000000036
6,0.7157756329476458,0.104854825999896,0.1114987237174635,0.0037192873667103465,11575.30078125,False,378.0,linear,0.672,0.896,0.868,0.604,0.724,0.6995073891625616,0.5906976744186047,0.672,0.008000000000000007,-0.0040000000000000036,0.0040000000000000036,0.01200000000000001,-0.008000000000000007,0.0,0.009302325581395321,0.0040000000000000036
7,0.717088555390079,0.10524217209233551,0.10962175822992509,0.0038197252859326863,13242.5859375,False,373.5,linear,0.656,0.9,0.86,0.596,0.736,0.7093596059113301,0.5953488372093023,0.684,-0.016000000000000014,0.0040000000000000036,-0.008000000000000007,-0.008000000000000007,0.01200000000000001,0.009852216748768461,0.0046511627906976605,0.01200000000000001
8,0.7171926910299004,0.10580231727483437,0.10847592594339787,0.003852657222582977,10848.83203125,False,387.3,linear,0.628,0.916,0.848,0.6,0.736,0.7142857142857143,0.6232558139534884,0.672,-0.028000000000000025,0.016000000000000014,-0.01200000000000001,0.0040000000000000036,0.0,0.0049261083743842304,0.027906976744186074,-0.01200000000000001
9,0.7199141367854278,0.1019503688289534,0.10651825880906454,0.005130303738646335,12864.525390625,False,385.3,linear,0.644,0.908,0.848,0.604,0.736,0.7093596059113301,0.6139534883720931,0.696,0.016000000000000014,-0.008000000000000007,0.0,0.0040000000000000036,0.0,-0.0049261083743842304,-0.009302325581395321,0.02399999999999991
10,0.7218671096345515,0.10426775539426315,0.10584310778462412,0.004499547272322074,10760.3564453125,False,424.6,linear,0.66,0.912,0.852,0.596,0.732,0.7142857142857143,0.6046511627906976,0.704,0.016000000000000014,0.0040000000000000036,0.0040000000000000036,-0.008000000000000007,-0.0040000000000000036,0.0049261083743842304,-0.009302325581395432,0.008000000000000007
