iteration,bal_acc,std,std_ema,alpha_max,lambda_max,rolled_back,elapsed_s,omega_mode,MEL,NV,BCC,AK,BKL,DF,VASC,SCC,d_MEL,d_NV,d_BCC,d_AK,d_BKL,d_DF,d_VASC,d_SCC
1,0.7012554702715088,0.12804810773040326,0.13203051393408427,0.0099995914120002,11931.68359375,False,335.0,sqrt,0.656,0.928,0.88,0.54,0.708,0.6699507389162561,0.5720930232558139,0.656,-0.02400000000000002,0.008000000000000007,0.03200000000000003,0.0040000000000000036,-0.01200000000000001,0.049261083743842304,0.05581395348837204,0.04400000000000004
2,0.7091472104479322,0.11414808359205869,0.1266657848314766,0.009999273469174112,12400.23046875,False,385.4,sqrt,0.66,0.916,0.86,0.58,0.712,0.7044334975369458,0.5767441860465117,0.664,0.0040000000000000036,-0.01200000000000001,-0.020000000000000018,0.039999999999999925,0.0040000000000000036,0.034482758620689724,0.0046511627906977715,0.008000000000000007
3,0.7219257646924047,0.1096238377795921,0.12155320071591126,0.009998668618237956,11076.4599609375,False,436.2,sqrt,0.692,0.908,0.864,0.576,0.736,0.7093596059113301,0.586046511627907,0.704,0.03199999999999992,-0.008000000000000007,0.0040000000000000036,-0.0040000000000000036,0.02400000000000002,0.0049261083743842304,0.009302325581395321,0.039999999999999925
4,0.7286187994042845,0.10309006542589308,0.11601426012890581,0.009998777286088955,11721.5283203125,False,404.3,sqrt,0.684,0.892,0.864,0.568,0.708,0.7536945812807881,0.6232558139534884,0.736,-0.007999999999999896,-0.016000000000000014,0.0,-0.008000000000000007,-0.028000000000000025,0.044334975369458074,0.037209302325581395,0.03200000000000003
5,0.7218898499255355,0.08776472376045133,0.10753939921836946,0.009999127466733572,11348.513671875,False,373.9,sqrt,0.664,0.892,0.824,0.624,0.724,0.7192118226600985,0.627906976744186,0.7,-0.020000000000000018,0.0,-0.040000000000000036,0.05600000000000005,0.016000000000000014,-0.03448275862068961,0.0046511627906976605,-0.03600000000000003
6,0.7218898499255355,0.08776472376045133,0.10160699658099401,0.0022498787874728966,10021.328125,True,402.8,sqrt,0.664,0.892,0.824,0.624,0.724,0.7192118226600985,0.627906976744186,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7301784855080765,0.08567493291651804,0.09682737748165121,0.0027553559877269164,10032.7353515625,False,368.4,sqrt,0.68,0.892,0.832,0.62,0.72,0.7389162561576355,0.6465116279069767,0.712,0.016000000000000014,0.0,0.008000000000000007,-0.0040000000000000036,-0.0040000000000000036,0.019704433497536922,0.018604651162790642,0.01200000000000001
8,0.7325156948104021,0.08498748689935276,0.09327541030696167,0.0030941113327542123,10454.4345703125,False,358.1,sqrt,0.688,0.892,0.836,0.632,0.72,0.7389162561576355,0.6372093023255814,0.716,0.007999999999999896,0.0,0.0040000000000000036,0.01200000000000001,0.0,0.0,-0.009302325581395321,0.0040000000000000036
9,0.7325156948104021,0.08498748689935276,0.090789033284679,0.0019544875319146985,9947.1162109375,True,378.7,sqrt,0.688,0.892,0.836,0.632,0.72,0.7389162561576355,0.6372093023255814,0.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.7326784855080766,0.08367228754318531,0.08865400956223089,0.0022774156502413925,9980.6025390625,False,355.6,sqrt,0.696,0.888,0.836,0.624,0.712,0.7389162561576355,0.6465116279069767,0.72,0.008000000000000007,-0.0040000000000000036,0.0,-0.008000000000000007,-0.008000000000000007,0.0,0.009302325581395321,0.0040000000000000036
