iteration,acc_global,std,std_ema,alpha_max,lambda_max,alpha_norm,rolled_back,elapsed_s,MEL,NV,BCC,AK,BKL,DF,VASC,SCC,d_MEL,d_NV,d_BCC,d_AK,d_BKL,d_DF,d_VASC,d_SCC
1,0.7002085447311401,0.12765834890412908,0.1310714049068472,0.00999959141080221,7299.146484375,0.013530243866622849,False,451.87422370910645,0.696,0.94,0.856,0.536,0.656,0.6551724137931034,0.5720930232558139,0.664,-0.03200000000000003,0.0119999999999999,0.028000000000000025,-0.020000000000000018,-0.051999999999999935,0.03448275862068961,0.05581395348837204,0.07600000000000007
2,0.7007299065589905,0.12904955461591971,0.13046484981956896,0.009890895171359507,6813.556640625,0.015357493117967153,False,463.6414439678192,0.712,0.96,0.824,0.56,0.64,0.625615763546798,0.5534883720930233,0.696,0.016000000000000014,0.020000000000000018,-0.03200000000000003,0.02400000000000002,-0.016000000000000014,-0.029556650246305383,-0.018604651162790642,0.03199999999999992
3,0.7106360793113708,0.12359758135825376,0.1284046692811744,0.009991761469187701,6164.12109375,0.011501714378814925,False,457.8233940601349,0.684,0.964,0.824,0.6,0.688,0.6354679802955665,0.5488372093023256,0.704,-0.027999999999999914,0.0040000000000000036,0.0,0.039999999999999925,0.04799999999999993,0.009852216748768461,-0.0046511627906976605,0.008000000000000007
4,0.7054223418235779,0.11032136008077884,0.12297967652105574,0.009996564913186557,6587.84375,0.013744837313713199,False,450.83731985092163,0.716,0.94,0.788,0.616,0.66,0.625615763546798,0.5674418604651162,0.696,0.03199999999999992,-0.02400000000000002,-0.03599999999999992,0.016000000000000014,-0.027999999999999914,-0.009852216748768461,0.018604651162790642,-0.008000000000000007
5,0.7054223418235779,0.11032136008077884,0.11918218158897267,0.009835256372222559,9419.3046875,0.013989449742409052,True,516.5946488380432,0.716,0.94,0.788,0.616,0.66,0.625615763546798,0.5674418604651162,0.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.7174139618873596,0.11150766369331193,0.11687982622027446,0.009592809029339643,9407.8125,0.01391100646471171,False,528.2196989059448,0.704,0.928,0.84,0.568,0.66,0.6945812807881774,0.6,0.724,-0.01200000000000001,-0.0119999999999999,0.051999999999999935,-0.04800000000000004,0.0,0.06896551724137934,0.032558139534883734,0.028000000000000025
7,0.7174139618873596,0.11150766369331193,0.1152681774621857,0.005132452391859784,7856.9541015625,0.013133770193774244,True,592.5999450683594,0.704,0.928,0.84,0.568,0.66,0.6945812807881774,0.6,0.724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.7153284549713135,0.11529359719989364,0.11527580338349808,0.0032297600938976877,7857.984375,0.007713626402242315,False,548.4753820896149,0.684,0.932,0.852,0.564,0.664,0.6847290640394089,0.6,0.72,-0.019999999999999907,0.0040000000000000036,0.01200000000000001,-0.0040000000000000036,0.0040000000000000036,-0.009852216748768461,0.0,-0.0040000000000000036
9,0.7174139618873596,0.10433852525048705,0.11199461994359476,0.00842313586904718,8425.1015625,0.004493525584933611,False,525.7935609817505,0.676,0.924,0.836,0.6,0.668,0.6896551724137931,0.6093023255813953,0.716,-0.008000000000000007,-0.008000000000000007,-0.016000000000000014,0.03600000000000003,0.0040000000000000036,0.0049261083743842304,0.009302325581395321,-0.0040000000000000036
10,0.7174139618873596,0.10433852525048705,0.10969779153566245,0.004465261424761991,7454.55078125,0.012884252512784437,True,551.1646590232849,0.676,0.924,0.836,0.6,0.668,0.6896551724137931,0.6093023255813953,0.716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
