method,tau,elapsed_s,global,bal_acc,std,MEL,NV,BCC,AK,BKL,DF,VASC,SCC
FL + SS,,,0.698,0.515,0.164,0.581,0.828,0.652,0.415,0.543,0.389,0.263,0.447
SS seule,,,0.692,0.501,0.172,0.51,0.844,0.675,0.369,0.528,0.444,0.289,0.351
FL seule,,,0.7247,0.492,0.2081,0.584,0.887,0.72,0.354,0.467,0.278,0.263,0.383
Baseline (CE),,,0.6978,0.3752,0.236,0.472,0.859,0.744,0.262,0.365,0.333,0.105,0.319
Baseline (CE)_baseline,,47.7,0.6773684210526316,0.4324762351415221,0.23559393380537919,0.471976401179941,0.8590673575129534,0.744,0.26153846153846155,0.36548223350253806,0.3333333333333333,0.10526315789473684,0.3191489361702128
Baseline (CE)_tau-norm,0.25,44.42,0.6757894736842105,0.42904492480078493,0.23758218268727724,0.4690265486725664,0.8601036269430051,0.744,0.24615384615384617,0.3553299492385787,0.3333333333333333,0.10526315789473684,0.3191489361702128
Baseline (CE)_tau-norm,0.5,43.62,0.6757894736842105,0.425457838312144,0.24120843142877507,0.4690265486725664,0.8621761658031089,0.744,0.2153846153846154,0.3553299492385787,0.3333333333333333,0.10526315789473684,0.3191489361702128
Baseline (CE)_tau-norm,0.75,34.24,0.6742105263157895,0.42050645535756015,0.24410155241869383,0.46607669616519176,0.8621761658031089,0.744,0.2,0.3553299492385787,0.3333333333333333,0.10526315789473684,0.2978723404255319
Baseline (CE)_tau-norm,1.0,25.14,0.6731578947368421,0.4166603015114063,0.24776061368148242,0.46607669616519176,0.8621761658031089,0.744,0.16923076923076924,0.3553299492385787,0.3333333333333333,0.10526315789473684,0.2978723404255319
Baseline (CE)_tau-norm,1.25,23.6,0.6726315789473685,0.41552079965716787,0.2483306676165375,0.46607669616519176,0.8632124352331606,0.744,0.16923076923076924,0.34517766497461927,0.3333333333333333,0.10526315789473684,0.2978723404255319
Baseline (CE)_tau-norm,1.5,22.22,0.6736842105263158,0.4135156124284278,0.2501467341040847,0.4631268436578171,0.8663212435233161,0.744,0.16923076923076924,0.350253807106599,0.3333333333333333,0.10526315789473684,0.2765957446808511
Baseline (CE)_tau-norm,2.0,23.64,0.6747368421052632,0.4084017344803776,0.25620952599522673,0.46607669616519176,0.8694300518134715,0.744,0.13846153846153847,0.3553299492385787,0.3333333333333333,0.10526315789473684,0.2553191489361702
Baseline (CE)_logit-adj,0.25,0.0029,0.14894736842105263,0.3566694395627182,0.24101975081195104,0.23008849557522124,0.016580310880829015,0.404,0.3230769230769231,0.12690355329949238,0.8333333333333334,0.5789473684210527,0.3404255319148936
Baseline (CE)_logit-adj,0.5,0.0022,0.02157894736842105,0.2056384653669088,0.30832551401345315,0.0,0.0,0.0,0.07692307692307693,0.0,0.9444444444444444,0.3684210526315789,0.2553191489361702
Baseline (CE)_logit-adj,1.0,0.0012,0.013157894736842105,0.16713325867861142,0.331041439242125,0.0,0.0,0.0,0.0,0.0,1.0,0.3157894736842105,0.02127659574468085
Baseline (CE)_logit-adj,1.5,0.002,0.011578947368421053,0.1513157894736842,0.3280909905208338,0.0,0.0,0.0,0.0,0.0,1.0,0.21052631578947367,0.0
Baseline (CE)_logit-adj,2.0,0.0011,0.011052631578947368,0.14473684210526316,0.3273646132795981,0.0,0.0,0.0,0.0,0.0,1.0,0.15789473684210525,0.0
