iteration,acc_global,std,std_ema,alpha_max,lambda_max,alpha_norm,rolled_back,elapsed_s,MEL,NV,BCC,AK,BKL,DF,VASC,SCC,d_MEL,d_NV,d_BCC,d_AK,d_BKL,d_DF,d_VASC,d_SCC
1,0.7653806209564209,0.08949959019371814,0.0899791911262926,0.009999591359546624,2167.811279296875,0.010004848097663444,False,389.6968250274658,0.764,0.948,0.856,0.676,0.696,0.7832512315270936,0.7069767441860465,0.688,0.0040000000000000036,0.0,0.0,0.0,0.0,0.0049261083743842304,0.009302325581395321,0.0
2,0.7737226486206055,0.08744374054684102,0.08921855595245713,0.009999070056186762,2045.7012939453125,0.010721568332813446,False,447.1994502544403,0.772,0.948,0.864,0.684,0.692,0.7980295566502463,0.7302325581395349,0.7,0.008000000000000007,0.0,0.008000000000000007,0.008000000000000007,-0.0040000000000000036,0.014778325123152691,0.023255813953488413,0.01200000000000001
3,0.7752867341041565,0.08566173779276653,0.08815151050454995,0.00999935087101271,2249.31494140625,0.010009827838046664,False,449.6650149822235,0.772,0.948,0.86,0.692,0.7,0.8029556650246306,0.7302325581395349,0.696,0.0,0.0,-0.0040000000000000036,0.007999999999999896,0.008000000000000007,0.0049261083743842304,0.0,-0.0040000000000000036
4,0.7768508791923523,0.08392995733342253,0.08688504455321172,0.009999448708234517,2292.521240234375,0.010162298341412041,False,425.58311223983765,0.784,0.948,0.852,0.704,0.688,0.8029556650246306,0.7302325581395349,0.704,0.01200000000000001,0.0,-0.008000000000000007,0.01200000000000001,-0.01200000000000001,0.0,0.0,0.008000000000000007
5,0.7794577479362488,0.0847654461726394,0.08624916503904002,0.009987846276413137,2343.2666015625,0.011009753884511132,False,423.6073729991913,0.784,0.952,0.856,0.704,0.692,0.8078817733990148,0.7348837209302326,0.704,0.0,0.0040000000000000036,0.0040000000000000036,0.0,0.0040000000000000036,0.0049261083743842304,0.0046511627906976605,0.0
6,0.7794577479362488,0.0847654461726394,0.08580404937911984,0.009969791904061796,2699.29296875,0.009989340978544745,False,418.7953178882599,0.784,0.952,0.856,0.704,0.692,0.8078817733990148,0.7348837209302326,0.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.7805005311965942,0.08420241091209042,0.08532355783901101,0.009970979852014412,2788.8701171875,0.010563906784459476,False,434.48113894462585,0.784,0.956,0.852,0.712,0.696,0.8029556650246306,0.7441860465116279,0.696,0.0,0.0040000000000000036,-0.0040000000000000036,0.008000000000000007,0.0040000000000000036,-0.0049261083743842304,0.009302325581395321,-0.008000000000000007
8,0.7810218930244446,0.08029551622095808,0.08381514535359513,0.009992285320148037,4250.0810546875,0.010708270101471299,False,437.76232504844666,0.78,0.948,0.848,0.72,0.708,0.812807881773399,0.7302325581395349,0.7,-0.0040000000000000036,-0.008000000000000007,-0.0040000000000000036,0.008000000000000007,0.01200000000000001,0.009852216748768461,-0.013953488372092981,0.0040000000000000036
9,0.7805005311965942,0.07531968475323465,0.08126650717348699,0.009996691534929662,4996.19580078125,0.009600668336624473,False,440.4054579734802,0.776,0.948,0.832,0.728,0.72,0.7980295566502463,0.7348837209302326,0.704,-0.0040000000000000036,0.0,-0.016000000000000014,0.008000000000000007,0.01200000000000001,-0.014778325123152691,0.0046511627906976605,0.0040000000000000036
10,0.7805005311965942,0.07531968475323465,0.0794824604474113,0.009539781474320816,5771.2216796875,0.010628201883646715,True,467.76734614372253,0.776,0.948,0.832,0.728,0.72,0.7980295566502463,0.7348837209302326,0.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.7799791693687439,0.08028121096399701,0.079722085602387,0.005328397088319954,5773.810546875,0.011595229012863003,False,438.71881914138794,0.788,0.948,0.832,0.716,0.7,0.8226600985221675,0.7302325581395349,0.704,0.01200000000000001,0.0,0.0,-0.01200000000000001,-0.020000000000000018,0.024630541871921152,-0.0046511627906976605,0.0
12,0.7825860381126404,0.0773981043750453,0.07902489123418449,0.007997715174621084,6489.11962890625,0.006295656125428758,False,452.90353083610535,0.78,0.948,0.832,0.72,0.72,0.8226600985221675,0.7395348837209302,0.7,-0.008000000000000007,0.0,0.0,0.0040000000000000036,0.020000000000000018,0.0,0.009302325581395321,-0.0040000000000000036
13,0.7862356901168823,0.078533345943701,0.07887742764703945,0.006821163958290358,7444.0361328125,0.004376344561764865,False,416.03809213638306,0.784,0.948,0.836,0.716,0.72,0.8325123152709359,0.7674418604651163,0.692,0.0040000000000000036,0.0,0.0040000000000000036,-0.0040000000000000036,0.0,0.009852216748768461,0.027906976744186074,-0.008000000000000007
14,0.7851929068565369,0.07377277089131336,0.07734603062032162,0.00930559416231521,7647.9775390625,0.0075131674760673395,False,394.40100622177124,0.788,0.936,0.832,0.716,0.72,0.8325123152709359,0.7581395348837209,0.704,0.0040000000000000036,-0.0119999999999999,-0.0040000000000000036,0.0,0.0,0.0,-0.009302325581395432,0.01200000000000001
