iteration,acc_global,std,std_ema,alpha_max,lambda_max,alpha_norm,rolled_back,elapsed_s,avion,auto,oiseau,chat,cerf,chien,grenouille,cheval,bateau,camion,d_avion,d_auto,d_oiseau,d_chat,d_cerf,d_chien,d_grenouille,d_cheval,d_bateau,d_camion
1,0.8471999764442444,0.07203027141417699,0.0832456614721435,0.02,716.6185462887805,0.02000000052637091,False,417.4581959247589,0.871,0.92,0.808,0.704,0.829,0.74,0.92,0.88,0.91,0.89,-0.017000000000000015,0.009000000000000008,-0.0030000000000000027,0.041999999999999926,-0.03400000000000003,0.041000000000000036,0.03400000000000003,-0.02300000000000002,-0.02100000000000002,-0.006000000000000005
2,0.8467000126838684,0.07196811794121062,0.07986239841286363,0.02,381.7434357360431,0.02000002648157545,False,547.0184061527252,0.875,0.929,0.787,0.692,0.819,0.777,0.922,0.88,0.889,0.897,0.0040000000000000036,0.009000000000000008,-0.02100000000000002,-0.01200000000000001,-0.010000000000000009,0.03700000000000003,0.0020000000000000018,0.0,-0.02100000000000002,0.007000000000000006
3,0.8465999960899353,0.06138110458439146,0.07431801026432198,0.02,799.3065277497864,0.020000158159177182,False,642.5879180431366,0.875,0.916,0.814,0.74,0.835,0.737,0.905,0.866,0.896,0.882,0.0,-0.013000000000000012,0.026999999999999913,0.04800000000000004,0.016000000000000014,-0.040000000000000036,-0.017000000000000015,-0.014000000000000012,0.007000000000000006,-0.015000000000000013
4,0.8465999960899353,0.06138110458439146,0.07043693856034283,0.013999999999999999,608.7704773891489,0.020000466340376496,True,650.5331909656525,0.875,0.916,0.814,0.74,0.835,0.737,0.905,0.866,0.896,0.882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.8532000184059143,0.06295839896312487,0.06819337668117745,0.013999999999999999,608.7704543785705,0.014000456194311749,False,575.8508780002594,0.87,0.925,0.808,0.725,0.835,0.772,0.89,0.891,0.91,0.906,-0.0050000000000000044,0.009000000000000008,-0.005999999999999894,-0.015000000000000013,0.0,0.03500000000000003,-0.015000000000000013,0.025000000000000022,0.014000000000000012,0.02400000000000002
6,0.8478000164031982,0.05237709423020715,0.06344849194588636,0.013999999999999999,350.4852534194505,0.014000091809238837,False,546.8683040142059,0.871,0.92,0.797,0.757,0.806,0.791,0.87,0.873,0.894,0.899,0.0010000000000000009,-0.0050000000000000044,-0.01100000000000001,0.03200000000000003,-0.028999999999999915,0.019000000000000017,-0.020000000000000018,-0.018000000000000016,-0.016000000000000014,-0.007000000000000006
7,0.8478000164031982,0.05237709423020715,0.0601270726311826,0.009799999999999998,435.9174097334936,0.014000137959958425,True,550.8388509750366,0.871,0.92,0.797,0.757,0.806,0.791,0.87,0.873,0.894,0.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.8511000275611877,0.0550680488123558,0.05860936548553457,0.009799999999999998,435.9174235019519,0.009800000777206505,False,543.2157230377197,0.872,0.918,0.817,0.755,0.834,0.763,0.859,0.884,0.912,0.897,0.0010000000000000009,-0.0020000000000000018,0.019999999999999907,-0.0020000000000000018,0.027999999999999914,-0.028000000000000025,-0.01100000000000001,0.01100000000000001,0.018000000000000016,-0.0020000000000000018
9,0.847100019454956,0.05185257949224899,0.056582329687548893,0.009799999999999998,421.77151399517555,0.009800003207875592,False,526.7084147930145,0.863,0.917,0.801,0.757,0.817,0.782,0.865,0.87,0.896,0.903,-0.009000000000000008,-0.0010000000000000009,-0.015999999999999903,0.0020000000000000018,-0.017000000000000015,0.019000000000000017,0.006000000000000005,-0.014000000000000012,-0.016000000000000014,0.006000000000000005
10,0.8526999950408936,0.05653149564623248,0.056567079475153964,0.006859999999999998,480.65562791070204,0.009799992651675936,False,547.0988123416901,0.872,0.917,0.818,0.747,0.842,0.766,0.863,0.884,0.912,0.906,0.009000000000000008,0.0,0.016999999999999904,-0.010000000000000009,0.025000000000000022,-0.016000000000000014,-0.0020000000000000018,0.014000000000000012,0.016000000000000014,0.0030000000000000027
